,y_pred
450,6.710947036743164
451,7.6478729248046875
452,7.580959320068359
453,7.787581443786621
454,7.439792156219482
455,7.587124824523926
456,6.008368015289307
457,5.990116596221924
458,7.606705188751221
459,7.813813209533691
460,7.959434509277344
461,7.519131183624268
462,7.156625747680664
463,7.701728820800781
464,6.948319911956787
465,5.493843078613281
466,8.722766876220703
467,7.70468807220459
468,7.755439758300781
469,6.955658912658691
470,7.576833724975586
471,7.564962863922119
472,8.27566909790039
473,6.577816486358643
474,7.4410080909729
475,7.367292881011963
476,7.777765274047852
477,7.134147644042969
478,7.254897594451904
479,8.47344970703125
480,5.544739246368408
481,7.101254463195801
482,7.3689045906066895
483,7.586284637451172
484,7.595312595367432
485,7.236459732055664
486,7.5229902267456055
487,7.32717752456665
488,7.206576347351074
489,6.883302211761475
490,7.583368301391602
491,7.803295135498047
492,7.173598289489746
493,7.1139068603515625
494,7.311805725097656
495,7.553027153015137
496,7.388867378234863
497,7.246536731719971
498,6.851250648498535
499,7.83913516998291
500,7.2767510414123535
501,7.749328136444092
502,7.030248165130615
503,6.56580114364624
504,7.886216163635254
505,6.817666530609131
506,7.515789031982422
507,6.757081508636475
508,7.275310516357422
509,6.46061897277832
510,7.947343826293945
511,7.272456645965576
512,7.2882561683654785
513,7.707029819488525
514,6.576139450073242
515,7.082118988037109
516,6.926083564758301
517,7.244724750518799
518,7.110805511474609
519,8.079549789428711
520,6.932740211486816
521,7.597715377807617
522,7.654529571533203
523,7.683854579925537
524,7.492483615875244
525,4.541146278381348
526,8.432564735412598
527,7.316929340362549
528,6.759605407714844
529,7.519184589385986
530,6.532100200653076
531,7.875061988830566
532,7.736423015594482
533,7.584327697753906
534,6.707087516784668
535,6.708576679229736
536,7.979877471923828
537,5.798845291137695
538,7.992831230163574
539,7.019345760345459
540,7.625080585479736
541,6.429140567779541
542,8.242857933044434
543,7.644218444824219
544,7.285666465759277
545,7.753413200378418
546,7.204894065856934
547,7.579252243041992
548,7.302811145782471
549,7.5797014236450195
550,5.779328346252441
551,7.308145523071289
552,6.384411811828613
553,7.528834342956543
554,7.16357946395874
555,7.536114692687988
556,7.415168285369873
557,7.373112201690674
558,7.7065958976745605
559,7.488295555114746
560,7.442854404449463
561,7.57390832901001
562,7.925146579742432
563,7.606816291809082
564,7.882987976074219
565,7.748024940490723
566,7.81854248046875
567,5.668607711791992
568,7.3910136222839355
569,7.786505699157715
570,7.393872261047363
571,7.259950160980225
572,7.295733451843262
573,7.382811546325684
574,7.923727989196777
575,7.391211032867432
576,5.36854362487793
577,7.8926520347595215
578,7.928554058074951
579,7.094550609588623
580,7.06501579284668
581,7.8549981117248535
582,8.06502914428711
583,7.153703212738037
584,7.236050128936768
585,7.768589973449707
586,6.337359428405762
587,7.60488224029541
588,7.502945423126221
589,7.698599338531494
590,7.2395339012146
591,7.688094615936279
592,6.999030113220215
593,7.4494452476501465
594,8.19305419921875
595,7.780772686004639
596,7.373871326446533
597,7.071653842926025
598,7.043701171875
599,7.420715808868408
600,6.132691383361816
601,7.038482666015625
602,8.026963233947754
603,6.713256359100342
604,7.1926493644714355
605,8.10069751739502
606,6.822036266326904
607,7.844081401824951
608,7.317278861999512
609,7.871438980102539
610,7.781791687011719
611,7.672383785247803
612,7.339333534240723
613,6.848731994628906
614,7.690668106079102
615,7.797746658325195
616,7.215336322784424
617,7.405854225158691
618,7.488188743591309
619,7.446836471557617
620,7.0004119873046875
621,7.697709560394287
622,7.431295394897461
623,5.141279697418213
624,7.691581726074219
625,7.574749946594238
626,7.019862174987793
627,7.496641159057617
628,8.067182540893555
629,7.564188003540039
630,7.789045810699463
631,5.696595191955566
632,7.131106376647949
633,7.243078708648682
634,7.757964611053467
635,7.467394828796387
636,5.764529228210449
637,6.093657493591309
638,2.952907085418701
639,7.399312973022461
640,7.708803176879883
641,6.06665563583374
642,8.451471328735352
643,7.818119525909424
644,6.332018852233887
645,7.674966335296631
646,7.369271755218506
647,7.6555657386779785
648,3.3995778560638428
649,6.73744535446167
650,7.949634552001953
651,7.797059059143066
652,7.582240581512451
653,7.667529106140137
654,7.741118907928467
655,6.618452548980713
656,7.443221092224121
657,7.599754333496094
658,4.780965328216553
659,7.154322624206543
660,7.234482765197754
661,5.701006889343262
662,7.50253963470459
663,6.811378002166748
